feature,importance
starts_true,0.4584554708183822
negation_ratio,0.12304450680223984
word_count,0.09143511738722335
avg_sentence_length,0.06837846047174238
upper_ratio,0.06338327223343608
punctuation_ratio,0.029725424276334324
hedge_ratio,0.026975124945598044
certainty_ratio,0.025680091919695447
comma_count,0.02506858283422637
avg_word_length,0.020222185729951034
hapax_ratio,0.016718240152994106
type_token_ratio,0.01668535771142506
starts_false,0.011164194456054207
bigram_diversity,0.010978834896077245
sentence_count,0.006480262077357942
exclamation_count,0.005604873287262543
question_count,0.0
